id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,person.id,person.fullName,person.link,toTeam.id,toTeam.name,toTeam.link,fromTeam.id,fromTeam.name,fromTeam.link
471066,2021-02-19,2021-02-19,2021-02-19,DES,Designated for Assignment,Seattle Mariners designated RHP Robert Dugger for assignment.,667498.0,Robert Dugger,/api/v1/people/667498,136,Seattle Mariners,/api/v1/teams/136,,,
471061,2021-02-19,2021-02-19,2021-02-19,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Ken Giles.,571704.0,Ken Giles,/api/v1/people/571704,136,Seattle Mariners,/api/v1/teams/136,,,
472713,2021-02-22,2021-02-22,,OUT,Outrighted,Seattle Mariners sent Robert Dugger outright to Tacoma Rainiers.,667498.0,Robert Dugger,/api/v1/people/667498,529,Tacoma Rainiers,/api/v1/teams/529,136.0,Seattle Mariners,/api/v1/teams/136
474657,2021-02-28,2021-02-28,2021-02-28,ASG,Assigned,SS Jack Reinheimer assigned to Seattle Mariners .,595373.0,Jack Reinheimer,/api/v1/people/595373,136,Seattle Mariners,/api/v1/teams/136,,,
472955,2021-02-28,2021-02-28,2021-02-28,ASG,Assigned,SS Jack Reinheimer assigned to Seattle Mariners .,595373.0,Jack Reinheimer,/api/v1/people/595373,136,Seattle Mariners,/api/v1/teams/136,,,
473284,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P George Kirby assigned to Seattle Mariners .,669923.0,George Kirby,/api/v1/people/669923,136,Seattle Mariners,/api/v1/teams/136,,,
474655,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P Robert Dugger assigned to Seattle Mariners .,667498.0,Robert Dugger,/api/v1/people/667498,136,Seattle Mariners,/api/v1/teams/136,,,
474650,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P Emerson Hancock assigned to Seattle Mariners .,676106.0,Emerson Hancock,/api/v1/people/676106,136,Seattle Mariners,/api/v1/teams/136,,,
474649,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P George Kirby assigned to Seattle Mariners .,669923.0,George Kirby,/api/v1/people/669923,136,Seattle Mariners,/api/v1/teams/136,,,
473283,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P Emerson Hancock assigned to Seattle Mariners .,676106.0,Emerson Hancock,/api/v1/people/676106,136,Seattle Mariners,/api/v1/teams/136,,,
473281,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P Robert Dugger assigned to Seattle Mariners .,667498.0,Robert Dugger,/api/v1/people/667498,136,Seattle Mariners,/api/v1/teams/136,,,
473282,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P Brandon Williamson assigned to Seattle Mariners .,682227.0,Brandon Williamson,/api/v1/people/682227,136,Seattle Mariners,/api/v1/teams/136,,,
474642,2021-03-10,2021-03-10,2021-03-10,ASG,Assigned,P Brandon Williamson assigned to Seattle Mariners .,682227.0,Brandon Williamson,/api/v1/people/682227,136,Seattle Mariners,/api/v1/teams/136,,,
473591,2021-03-16,2021-03-16,,OPT,Optioned,Seattle Mariners optioned P Sam Delaplane to Tacoma Rainiers.,676845.0,Sam Delaplane,/api/v1/people/676845,529,Tacoma Rainiers,/api/v1/teams/529,136.0,Seattle Mariners,/api/v1/teams/136
473682,2021-03-16,2021-03-16,,OPT,Optioned,Seattle Mariners optioned P Juan Then to Everett AquaSox.,672730.0,Juan Then,/api/v1/people/672730,403,Everett AquaSox,/api/v1/teams/403,136.0,Seattle Mariners,/api/v1/teams/136
473595,2021-03-16,2021-03-16,,OPT,Optioned,Seattle Mariners optioned P Wyatt Mills to Mariners Alternate Training Site.,670090.0,Wyatt Mills,/api/v1/people/670090,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
473584,2021-03-16,2021-03-16,,OPT,Optioned,Seattle Mariners optioned P Brandon Brennan to Mariners Alternate Training Site.,592165.0,Brandon Brennan,/api/v1/people/592165,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
474003,2021-03-18,2021-03-18,2021-03-18,SFA,Signed as Free Agent,Seattle Mariners signed free agent P Darin Gillies.,606981.0,Darin Gillies,/api/v1/people/606981,136,Seattle Mariners,/api/v1/teams/136,,,
473959,2021-03-23,2021-03-23,2021-03-23,REL,Released,Seattle Mariners released P Gerson Bautista.,639373.0,Gerson Bautista,/api/v1/people/639373,136,Seattle Mariners,/api/v1/teams/136,,,
473919,2021-03-23,2021-03-23,,OPT,Optioned,Seattle Mariners optioned P Yohan Ramirez to Mariners Alternate Training Site.,670990.0,Yohan Ramírez,/api/v1/people/670990,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
473920,2021-03-23,2021-03-23,,OPT,Optioned,Seattle Mariners optioned 2B Donovan Walton to Mariners Alternate Training Site.,622268.0,Donovan Walton,/api/v1/people/622268,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
474036,2021-03-25,2021-03-25,2021-03-25,REL,Released,Seattle Mariners released P Roenis Elias.,606273.0,Roenis Elías,/api/v1/people/606273,136,Seattle Mariners,/api/v1/teams/136,,,
474056,2021-03-26,2021-03-26,,OPT,Optioned,Seattle Mariners optioned CF Braden Bishop to Mariners Alternate Training Site.,623323.0,Braden Bishop,/api/v1/people/623323,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
474054,2021-03-26,2021-03-26,,OPT,Optioned,Seattle Mariners optioned P Aaron Fletcher to Mariners Alternate Training Site.,667465.0,Aaron Fletcher,/api/v1/people/667465,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
474055,2021-03-26,2021-03-26,,OPT,Optioned,Seattle Mariners optioned P Ljay Newsome to Mariners Alternate Training Site.,664714.0,Ljay Newsome,/api/v1/people/664714,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
474135,2021-03-27,2021-03-27,,OPT,Optioned,Seattle Mariners optioned P Erik Swanson to Mariners Alternate Training Site.,657024.0,Erik Swanson,/api/v1/people/657024,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
474166,2021-03-27,2021-03-27,2021-03-27,REL,Released,Seattle Mariners released P Matt Magill.,543483.0,Matt Magill,/api/v1/people/543483,136,Seattle Mariners,/api/v1/teams/136,,,
